                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.30993,                0.44477,                0.51046,                0.89888,                0.93988,                0.98012,                0.98619,                0.97398,                0.93988,                0.98012,                0.98619,                0.97116,                0.24003,                0.32669,                0.31418,                0.83933,             0.00020625,             0.00020625,             0.00020625
                     78,                0.32811,                0.45701,                 0.5122,                0.89819,                0.95897,                0.95885,                0.98572,                0.97112,                0.95897,                0.95885,                0.98572,                0.97075,                0.23349,                0.32427,                0.29336,                0.83238,               0.000198,               0.000198,               0.000198
                     79,                0.30521,                0.45062,                0.46149,                0.89406,                0.97039,                0.97386,                0.99088,                0.97462,                0.97039,                0.97386,                0.99088,                0.97713,                0.23396,                0.32517,                0.27698,                0.83323,             0.00018976,             0.00018976,             0.00018976
                     80,                0.32063,                0.43895,                0.47128,                0.89699,                0.97547,                0.97331,                0.99142,                0.97692,                0.97547,                0.97331,                0.99142,                0.97846,                0.22737,                0.32644,                0.27749,                0.82935,             0.00018151,             0.00018151,             0.00018151
                     81,                0.31872,                0.45265,                0.46525,                0.91457,                0.98058,                0.97261,                0.99307,                0.97537,                0.98058,                0.97261,                0.99307,                0.97878,                0.22834,                0.31733,                0.27061,                0.82651,             0.00017326,             0.00017326,             0.00017326
                     82,                0.31035,                0.45029,                0.47665,                0.89674,                0.97375,                0.97513,                0.99293,                0.97808,                0.97375,                0.97513,                0.99293,                0.97985,                0.23151,                0.31927,                0.26798,                0.83011,             0.00016502,             0.00016502,             0.00016502
                     83,                0.34392,                0.49932,                0.51506,                0.90855,                0.96997,                0.97207,                0.99287,                0.97547,                0.96997,                0.97207,                0.99287,                0.98009,                0.23793,                0.32253,                0.27602,                0.83692,             0.00015677,             0.00015677,             0.00015677
                     84,                0.30973,                0.41381,                0.46748,                0.89503,                0.96785,                 0.9894,                0.99242,                0.97688,                0.96785,                 0.9894,                0.99242,                0.98019,                0.22942,                0.31657,                0.27362,                0.82591,             0.00014852,             0.00014852,             0.00014852
                     85,                0.30184,                0.43625,                0.52725,                0.88782,                0.96735,                0.99076,                0.99337,                0.97721,                0.96735,                0.99076,                0.99337,                0.98217,                0.23555,                0.31106,                0.25929,                0.83056,             0.00014028,             0.00014028,             0.00014028
                     86,                0.29581,                0.40403,                 0.4565,                 0.9047,                0.97442,                 0.9874,                0.99319,                0.97965,                0.97442,                 0.9874,                0.99319,                0.98069,                0.22955,                0.31835,                0.25902,                0.82982,             0.00013203,             0.00013203,             0.00013203
